StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,user_id,Q1796,Q1762,MFSQ1,MFSQ2,MFSQ3,MFSQ4,MFSQ5,MFSQ6,MFSQ7,MFSQ8,MFSQ9,MFSQ10,MFSQ11,MFSQ12,MFSQ13,MFSQ14,MFSQ15,MFSQ16,attention_check.1,MFSQ17,MFSQ18,MFSQ19,MFSQ20,MFSQ21,MFSQ22,MFSQ23,MFSQ24,MFSQ25,MFSQ26,MFSQ27,MFSQ28,MFSQ29,MFSQ30,MFSQ31,MFSQ32,attention_check.2,BIG5_1,BIG5_2,BIG5_3,BIG5_4,BIG5_5,BIG5_6,BIG5_7,BIG5_8,BIG5_9,BIG5_10,BIG5_11,BIG5_12,BIG5_13,BIG5_14,BIG5_15,BIG5_16,BIG5_17,BIG5_18,BIG5_19,BIG5_20,BIG5_21,BIG5_22,BIG5_23,BIG5_24,BIG5_25,BIG5_26,BIG5_27,BIG5_28,BIG5_29,BIG5_30,BIG5_31,BIG5_32,BIG5_33,BIG5_34,BIG5_35,BIG5_36,BIG5_37,BIG5_38,BIG5_39,BIG5_40,BIG5_41,BIG5_42,BIG5_43,BIG5_44,BIG5_45,BIG5_46,BIG5_47,BIG5_48,BIG5_49,BIG5_50,BIG5_51,BIG5_52,BIG5_53,BIG5_54,BIG5_55,BIG5_56,BIG5_57,BIG5_58,BIG5_59,BIG5_60,sex,age_4,race_ethnicity,education,ReligionRaised,ReligionNow,Religiosity,Spirituality,AttendChurch,ReligiousActivity,meditation,RelationshipStatus,Income,Major,YearOfEducation,EmploymentStatus,Political_Party,HumanMind,Optimize,republican,democrat,independent,conservative,liberal,POWER,SELF-DIRECTION,ACHIEVEMENT,HEDONISM,STIMULATION,UNIVERSALISM,attention_check.3,BENEVOLENCE,TRADITION,CONFORMITY,SECURITY,MC_Lying,MC_Assassin,MC_Torture,MC_Murder,MC_Stealing,MC_Steril,FS1,EC1,PT1,EC2,FS2,PD1,FS3,PT2,EC3,PD2,PT3,FS4,PD3,EC4,PT4,FS5,PD4,EC5,PD5,EC6,PT5,EC7,FS6,attention_check.4,PD6,PT6,FS7,PD7,PT7,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS7,SNS8,Berlin1,Berlin2,Berlin3,Berlin4,GRiPS_1,GRiPS_2,GRiPS_3,GRiPS_4,GRiPS_5,GRiPS_6,GRiPS_7,GRiPS_8,Q1797,Q1802_1,Q1802_2,Q1802_3,Q1802_4,Q1802_5,Q1802_6,Q1802_7,SC0,completion code,batch
3/12/20 19:06,3/12/20 19:22,0,173.198.160.217,100,981,1,3/12/20 19:22,R_5v6tPL09JGO8FXz,,,,,43.96009827,-111.6975021,anonymous,EN,gd3OIQ0t,,1,2,2,5,2,2,0,2,2,2,2,1,2,2,2,5,3,1,3,3,5,3,3,5,3,3,3,3,5,0,0,2,3,3,1,4,4,2,4,1,5,4,1,5,5,1,2,4,1,5,2,1,4,4,4,5,1,1,5,1,1,4,2,4,1,1,4,4,3,4,2,3,5,1,5,5,1,5,4,1,4,3,2,3,2,2,4,5,1,1,5,4,2,2,5,2,58,2,3,1,1,3,3,1,6,6,3,24000,Science,16,Manufacturing-Supervisor,1,1,1,3,6,4,2,5,3,8,4,4,4,3,,4,3,2,8,1,1,1,1,1,1,1,2,4,4,2,1,2,3,3,1,4,4,4,4,4,2,2,4,1,3,4,3,2,,1,4,2,1,4,4,4,6,6,4,5,2,6,25,30,20,0.5,,,,,,,,,,,,,,,,,538,R_5v6tPL09JGO8FXz,1
3/12/20 19:06,3/12/20 19:23,0,73.169.119.154,100,986,1,3/12/20 19:23,R_29vkbh1bFlkUUqR,,,,,39.58839417,-105.0775986,anonymous,EN,zrwNx8or,,1,2,4,4,2,4,0,4,4,2,3,3,4,4,1,1,5,1,4,4,5,4,4,5,1,4,4,4,4,5,1,4,4,4,1,1,5,1,3,4,1,5,3,2,2,4,2,4,2,2,5,1,5,2,2,2,2,2,2,5,5,5,1,3,5,5,4,5,5,2,4,1,4,4,1,1,1,4,4,4,1,1,1,1,4,1,4,4,4,5,2,4,1,4,1,2,62,2,3,1,1,4,4,2,6,1,5,1999,Business Admiistration,16,Customer Service in banking,2,1,0,7,1,1,7,1,2,4,3,1,1,4,,6,7,7,7,0,0,0,0,0,0,1,3,2,4,1,4,1,1,4,4,1,3,3,4,3,1,3,4,2,3,2,4,1,,2,1,0,3,2,5,6,6,6,5,4,2,5,50,25,35,50,,,,,,,,,,,,,,,,,504,R_29vkbh1bFlkUUqR,1
3/12/20 19:12,3/12/20 19:24,0,45.36.240.171,100,682,1,3/12/20 19:24,R_RdZtvjbPihwJmzD,,,,,36.021698,-79.7838974,anonymous,EN,TwPqcu7u,,1,4,4,3,3,5,0,3,4,3,3,4,5,5,4,5,4,1,4,5,4,5,5,5,4,5,2,3,4,4,2,3,5,2,1,5,5,1,5,3,4,5,1,4,4,2,1,5,1,4,1,2,5,2,3,3,1,1,5,2,1,3,1,4,2,1,4,5,2,4,1,2,4,1,4,4,1,5,5,1,5,4,1,4,1,4,5,4,1,2,3,4,1,1,4,2,61,2,2,1,12,2,3,1,1,3,4,54000,none,12,"Dietary aide, full time",1,1,0,1,5,4,2,5,2,6,3,5,2,4,,6,4,6,6,1,0,0,0,0,1,2,4,3,4,1,1,1,4,3,1,3,1,2,3,3,1,1,3,1,3,4,2,2,,1,4,1,1,4,3,5,5,5,6,6,3,6,40,35,35,25,,,,,,,,,,,,,,,,,550,R_RdZtvjbPihwJmzD,1
3/12/20 19:15,3/12/20 19:28,0,69.209.27.95,100,757,1,3/12/20 19:28,R_3NQTHFvNQ0oGLh4,,,,,37.80430603,-122.2155991,anonymous,EN,m7EvsSNN,,1,3,4,0,1,0,0,2,3,3,0,0,3,5,3,4,0,1,4,5,2,3,1,5,5,5,4,1,1,2,4,3,2,0,1,1,4,2,1,5,1,4,5,1,4,4,5,3,5,1,5,3,5,5,3,1,3,5,1,2,5,1,2,1,5,5,3,5,5,4,5,4,3,5,2,1,4,4,2,4,1,4,1,1,2,5,4,3,5,3,1,1,3,5,1,1,39,2,2,11,7,1,1,1,1,1,1,10000,None,12,Self-employed,1,0,0,1,5,2,1,6,4,2,1,4,2,3,,6,2,3,5,1,0,0,0,0,0,3,2,1,2,4,4,4,3,4,4,3,4,4,3,1,4,4,4,4,4,3,4,4,,4,2,4,4,3,3,4,6,5,6,6,6,5,25,30,23,50,,,,,,,,,,,,,,,,,466,R_3NQTHFvNQ0oGLh4,1
3/12/20 19:09,3/12/20 19:29,0,103.143.108.200,100,1205,1,3/12/20 19:29,R_2AWoUYYpVWGTdW7,,,,,11.10760498,77.35641479,anonymous,EN,fqwC59NW,,1,4,2,3,4,3,4,1,2,4,4,2,3,3,4,3,4,1,4,3,4,5,4,4,1,4,3,4,3,1,2,2,3,2,1,4,3,4,4,4,3,5,4,3,4,3,4,3,5,4,4,3,3,4,3,4,3,3,3,4,3,4,5,4,3,4,3,4,4,3,4,3,2,4,4,3,4,5,3,4,4,3,2,3,4,3,4,3,2,4,3,4,3,4,3,1,37,4,3,6,6,2,3,5,5,5,3,90000,MECHANICAL,22,MANAGER,2,1,0,6,4,5,6,4,6,5,4,5,3,5,,3,6,5,4,1,1,0,1,2,1,3,2,2,1,2,2,1,2,2,3,1,2,2,1,2,2,3,2,1,2,3,2,3,,3,2,3,2,2,5,5,6,6,6,5,2,6,30,25,20,10,,,,,,,,,,,,,,,,,512,R_2AWoUYYpVWGTdW7,1
3/12/20 19:16,3/12/20 19:30,0,68.60.158.123,100,857,1,3/12/20 19:30,R_21iHw0i2LmL0qkj,,,,,42.72869873,-83.0279007,anonymous,EN,kAMrs3cO,,1,3,3,0,1,0,0,2,3,1,1,1,3,4,1,3,0,1,1,3,2,4,4,3,1,4,3,4,1,3,4,3,4,1,1,1,4,2,5,4,1,4,4,4,2,4,4,5,2,2,5,4,4,4,4,2,4,2,4,5,2,4,2,4,4,5,4,4,4,2,2,4,4,4,4,4,2,4,4,4,1,4,2,4,2,4,5,4,1,4,2,4,4,4,2,2,36,2,3,1,8,1,1,1,1,3,1,25000,Computer Science,17,Clickworker,3,0,0,1,5,4,1,6,1,8,3,5,4,3,,3,1,2,4,1,1,0,1,1,1,3,1,1,1,1,1,1,3,1,3,2,1,1,2,2,1,3,1,1,1,3,1,1,,1,2,3,1,3,5,5,6,6,6,5,5,5,25,25,20,33,,,,,,,,,,,,,,,,,413,R_21iHw0i2LmL0qkj,1
3/12/20 19:20,3/12/20 19:31,0,157.51.225.208,100,683,1,3/12/20 19:31,R_1CflcQ3XrgLuoBF,,,,,13.08599854,80.27508545,anonymous,EN,w6OM7v6w,,1,1,2,3,1,4,4,3,1,1,1,1,0,0,1,2,1,1,3,4,4,5,4,4,4,5,4,5,5,2,4,5,4,4,1,4,5,4,5,4,5,5,2,4,4,5,5,3,4,4,2,4,5,3,4,3,5,4,4,5,5,4,4,3,5,3,4,4,3,4,4,4,3,3,4,4,3,4,5,5,4,4,5,5,4,4,3,4,5,3,4,4,5,5,5,1,33,4,3,1,1,2,2,3,3,3,3,10000,Mathematics,16,manager,1,1,0,6,2,2,6,1,7,6,6,7,5,6,,5,6,7,7,2,1,2,1,2,1,3,3,2,1,4,3,0,3,3,4,4,1,1,0,2,3,4,1,1,4,3,3,4,,4,3,3,4,3,6,5,5,6,5,5,3,5,30,5,10,15,,,,,,,,,,,,,,,,,504,R_1CflcQ3XrgLuoBF,1
3/12/20 19:21,3/12/20 19:33,0,98.247.142.31,100,725,1,3/12/20 19:33,R_3egzAgw3dGg72R5,,,,,47.63000488,-122.2971954,anonymous,EN,mkdGXT4f,,1,4,5,0,1,0,0,5,5,2,0,0,5,5,1,2,0,1,5,5,0,3,1,5,5,0,0,0,0,3,4,0,3,0,1,2,5,2,1,1,3,5,3,1,5,2,4,3,5,3,2,1,4,5,5,3,2,5,3,1,2,1,2,1,1,5,5,3,5,5,2,2,3,5,4,1,3,3,1,2,3,1,3,1,1,3,5,4,5,1,3,2,5,5,4,2,47,2,4,12,8,1,1,1,1,1,2,41000,"English Lit, Psychology, Conservation Biology",24,"College professor, Psychology",1,1,0,1,7,1,1,7,2,8,4,7,4,8,,6,1,2,2,1,0,0,0,1,1,3,4,2,3,4,2,4,4,4,1,3,4,3,4,3,4,1,4,2,4,3,4,3,,1,0,4,2,4,2,6,6,6,6,6,1,6,25,30,20,20,,,,,,,,,,,,,,,,,527,R_3egzAgw3dGg72R5,1
3/12/20 19:18,3/12/20 19:34,0,162.154.153.84,100,972,1,3/12/20 19:34,R_1pMXp2fWQ2524j5,,,,,40.7960968,-81.37979889,anonymous,EN,JvHLkdac,,1,4,4,5,3,3,0,4,5,3,4,4,5,4,3,4,4,1,4,5,5,4,4,5,0,4,3,4,4,0,0,3,3,2,1,4,5,2,3,2,3,5,1,4,5,2,2,4,2,3,3,4,4,2,2,2,2,1,4,2,2,4,2,4,3,3,2,2,2,2,3,2,4,3,3,3,2,5,4,3,3,3,3,2,2,2,4,4,2,2,4,3,3,3,4,1,64,2,3,1,1,2,2,3,3,1,5,52000,business,16,it manager4,2,1,0,7,1,1,6,1,3,6,7,7,6,5,,6,7,5,8,1,1,1,0,0,1,3,3,3,3,3,2,1,3,4,1,3,4,2,3,1,4,3,4,2,3,3,3,3,,2,3,4,2,3,6,6,6,6,5,5,2,6,10,30,23,4,,,,,,,,,,,,,,,,,541,R_1pMXp2fWQ2524j5,1
3/12/20 19:42,3/12/20 19:44,0,64.130.181.82,100,124,1,3/12/20 19:44,R_W9kyfvvrodqsimR,,,,,36.99040222,-85.92389679,anonymous,EN,ssV5bSIv,,1,5,0,2,3,1,2,3,1,1,3,3,4,2,3,4,3,0,2,0,2,5,4,0,0,2,3,0,4,5,5,0,2,3,1,3,1,3,5,3,1,2,1,4,2,3,3,4,1,3,5,3,1,2,1,2,4,4,5,3,4,5,4,2,3,4,2,2,4,4,5,3,4,5,4,2,3,4,2,2,4,4,5,3,4,5,4,2,3,4,2,2,4,4,5,1,29,2,2,8,11,1,1,1,1,1,1,33000,n/a,12,"retail, manager",1,0,0,1,7,4,2,6,2,3,4,3,1,2,,3,1,1,3,1,0,2,1,1,0,2,1,2,2,1,2,1,1,1,3,3,0,2,1,0,3,1,2,1,1,1,3,3,,4,2,3,4,3,5,5,5,2,3,3,2,3,500,30,50,5,,,,,,,,,,,,,,,,,400,R_W9kyfvvrodqsimR,1
3/12/20 19:23,3/12/20 19:50,0,68.96.244.242,100,1645,1,3/12/20 19:50,R_24H3GJEL6U1vhjk,,,,,36.19619751,-115.263298,anonymous,EN,WN0VE4FZ,,1,5,5,0,0,4,0,4,4,1,0,0,5,5,1,1,3,1,4,4,4,4,4,5,5,4,3,4,3,1,3,1,1,3,1,5,4,2,4,1,5,4,1,5,5,1,3,5,1,5,3,4,4,4,5,5,1,2,5,1,1,3,2,5,1,1,4,4,2,5,3,4,5,2,5,5,2,5,5,1,5,2,1,5,1,3,4,5,2,1,5,5,3,2,5,2,39,2,2,12,5,3,4,3,6,6,4,28000,art,15,hospitality - entertainer,3,0,0,4,4,5,3,5,3,8,4,3,3,8,,4,4,3,4,1,1,1,1,0,1,2,2,4,4,4,0,4,4,3,0,3,4,0,4,2,2,0,2,0,3,4,3,3,,0,4,2,0,3,4,4,6,6,6,6,1,6,25,25,35,5,,,,,,,,,,,,,,,,,553,R_24H3GJEL6U1vhjk,1
3/12/20 19:31,3/12/20 19:54,0,71.51.191.95,100,1407,1,3/12/20 19:54,R_1rCkPCeet53PVXn,,,,,38.03210449,-78.48899841,anonymous,EN,dbNJPQT8,,1,1,4,4,2,0,0,4,3,5,2,0,3,5,5,3,0,1,3,5,4,5,0,4,5,5,3,1,2,5,0,5,5,2,1,5,5,1,4,2,4,5,1,4,5,1,1,4,3,5,1,1,4,2,4,4,1,1,5,1,1,4,1,4,2,1,5,4,1,5,3,1,5,3,2,4,1,5,4,1,5,1,1,4,1,1,5,4,1,1,2,3,5,1,1,2,25,2,2,11,11,1,4,2,1,6,2,42000,healthcare,14, healthcare cna,3,1,0,3,5,7,4,4,1,6,8,8,3,7,,6,6,4,8,1,0,0,0,0,0,1,3,4,3,0,1,1,4,1,0,4,4,1,1,4,1,0,4,0,2,4,3,0,,0,3,0,1,2,2,1,1,2,5,5,1,5,10,30,20,0.5,,,,,,,,,,,,,,,,,537,R_1rCkPCeet53PVXn,1
