"","user_id","condition","Risk_Beta","Ratio_Beta","Gain_Beta","Sex","Age","Race/Ethnicity","Education","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13"
"11","EjJX2xQw","Mood",-0.618923964256964,1.08922050803403,0.019383341993656,"Male","32","Hispanic or Latino","High School/Secondary School Degree (or equivalent)","Christianity","Agnosticism","Not Religious","Not Spiritual","Never","Never","Never","Single","38500","IT","14","IT - Help Desk Support","Democrat","Computers"
"12","FcP5oD0l","Attention (Concentration)",0.0225628183023365,0.0172364053239827,0.0269055042441105,"Female","50","White","High School/Secondary School Degree (or equivalent)","Christianity","Christianity","Not Religious","Very Spiritual","Never","More than once a week","A few times a year","Divorced","49500","business","14","employed customer support","Democrat","Computers"
"13","fqwC59NW","Mood",0.0467893349506877,-0.201268474036815,0.0238627951362929,"Male","37","Asian","College - Bachelor's Degree","Hinduism","Hinduism","Somewhat Religious","Very Spiritual","Once a week","Once a week","Once a week","Married","90000","MECHANICAL","22","MANAGER","Republican","Souls"
"14","FQZs26ef","Long Term Memory",-0.0230722260133798,0.139636895522983,-0.0108161078392255,"Male","27","Asian","College - Bachelor's Degree","Hinduism","Hinduism","Somewhat Religious","Somewhat Spiritual","A few times a month","More than once a week","A few times a month","Married","30000","computer science","12","IT and manager","Independent","Souls"
"15","Gd2AL9OU","Short Term (Working) Memory",-0.196375917688196,8.89600303590076,0.210722372005533,"Male","37","Asian","College - Bachelor's Degree","Christianity","Atheism","Not Religious","Not Spiritual","Never","Never","Never","In a Relationship","40000","Business","16","Processing Clerk II at a major U.S. Insurance company","Democrat","Souls"
"16","gd3OIQ0t","Mood",-0.141019090408675,0.243668948276597,0.0205014622400492,"Female","58","White","College - Bachelor's Degree","Christianity","Christianity","Very Religious","Very Spiritual","Never","More than once a week","More than once a week","Married","24000","Science","16","Manufacturing-Supervisor","Democrat","Souls"
"17","HFnyrGqQ","Attention (Concentration)",-0.058610427896393,2.72067981816254,0.188886189356852,"Female","28","White","Master's Degree","Christianity","Atheism","Not Religious","Not Spiritual","Never","Never","Never","Married","55000","Masters in Business Administration","17 years","Bookkeeper at a dental office","Democrat","Souls"
"18","IcxzdmfO","Mood",-10.2780729196368,74.5935761845611,3.50375072449112,"Male","32","White","College - Bachelor's Degree","Christianity","Agnosticism","Not Religious","Not Spiritual","Never","Never","Never","Single","49000","Biology","16","geographic information systems analyst","Democrat","Computers"
"19","JNSeqF0i","Short Term (Working) Memory",-0.0965138751186906,1.27568009123672,0.115041746285508,"Female","28","White","College - Bachelor's Degree","Christianity","Atheism","Not Religious","Not Spiritual","A few times a year","Never","Never","In a Relationship","17000","Digital Media Art","15","Student/Working full time, Illustrator","Democrat","Computers"
"20","JvHLkdac","Motor Function",-0.00414602215006297,2.03032617381147,0.142939001343032,"Male","64","White","College - Bachelor's Degree","Christianity","Christianity","Somewhat Religious","Somewhat Spiritual","A few times a year","A few times a year","Never","Divorced","52000","business","16","it manager4","Republican","Souls"
"21","kAMrs3cO","Attention (Concentration)",-0.0188755889363135,0.366713411270684,0.0149712557264704,"Female","36","White","College - Bachelor's Degree","Christianity","Atheism","Not Religious","Not Spiritual","Never","Never","A few times a year","Single","25000","Computer Science","17","Clickworker","Independent","Computers"
"22","L3dvhd7L","Mood",1.69446945632612e-16,-2.00415840374192e-15,1.87563309277962e-16,"Male","25","Asian","College - Bachelor's Degree","Hinduism","Hinduism","Not Religious","Not Spiritual","Once a year or less","Once a year or less","Never","Single","31000","Engineering","16","Quality control and Middle level manager","Republican","Souls"
"23","lkC8NMWO","Attention (Concentration)",0.00759580392872044,-0.102729975572593,0.0114785213686048,"Female","39","Other","High School/Secondary School Degree (or equivalent)","Islam","Islam","Very Religious","Very Spiritual","A few times a year","More than once a week","Never","Married","19000","Medical Office Admin","13","student","Democrat","Souls"
"24","LvFtBOzA","Mood",-0.0571247415036297,0.388401368915018,-0.00749005356745439,"Female","33","Asian","College - Bachelor's Degree","Hinduism","Hinduism","Very Religious","Very Spiritual","A few times a month","More than once a week","More than once a week","Married","5000","COMPUTERSCIENCE","14","3","Republican","Computers"
"25","m7EvsSNN","Mood",-0.44546461804212,6.54815469690557,0.453846278603354,"Male","39","White","High School/Secondary School Degree (or equivalent)","None","Agnosticism","Not Religious","Not Spiritual","Never","Never","Never","Single","10000","None","12","Self-employed","Democrat","Computers"
"26","M8TKy4LM","Long Term Memory",-0.0196954818309999,-0.272476621597299,-0.0405761320018453,"Male","29","White","College - Bachelor's Degree","Christianity","Christianity","Somewhat Religious","Somewhat Spiritual","A few times a month","A few times a month","A few times a month","Married","130000","A major is simply a specific subject that students can specialize in while aspiring to a college degree.","12","data entry","Republican","Computers"
"27","mkdGXT4f","Short Term (Working) Memory",-0.505294245090394,3.70662510595372,0.348905021932016,"Female","47","White","Master's Degree","Other","Atheism","Not Religious","Not Spiritual","Never","Never","Never","In a Relationship","41000","English Lit, Psychology, Conservation Biology","24","College professor, Psychology","Democrat","Souls"
"28","naXDwzU1","Language (spoken)",-0.123996356889673,0.846991035472038,-0.000185606648013104,"Female","51","White","High School/Secondary School Degree (or equivalent)","Christianity","Agnosticism","Not Religious","Somewhat Spiritual","Never","Once a year or less","Once a week","Married","89000","No college.","12","Owner of small hotel.","Independent","Souls"
"29","nB8WmX4K","Short Term (Working) Memory",-0.0425066454795729,3.5015757210077,0.0886474342082475,"Female","35","White","College - Bachelor's Degree","Islam","Islam","Very Religious","Somewhat Spiritual","A few times a year","More than once a week","Never","Married","45000","Psychology","16","Unemployed","Democrat","Souls"
"30","rbbgh7cl","Language (spoken)",-0.245381255379641,6.14609952190515,0.180696703098698,"Female","34","Hispanic or Latino","College - Bachelor's Degree","Christianity","Christianity","Very Religious","Very Spiritual","Once a week","More than once a week","More than once a week","Married","38000","History","16","Full time, Department manager Retail","Independent","Souls"
"31","rN09W2Hk","Short Term (Working) Memory",-0.119291337546941,3.31416721132362,0.106377855218562,"Female","29","White","Master's Degree","Christianity","Christianity","Somewhat Religious","Not Spiritual","Once a week","More than once a week","Never","Single","44000","Chemistry","20","Full time university administrator","Democrat","Computers"
"32","TwPqcu7u","Motor Function",-0.0713031012517497,2.1449918276971,0.0589328301182718,"Female","61","White","High School/Secondary School Degree (or equivalent)","Christianity","Other","Somewhat Religious","Very Spiritual","Never","Never","A few times a year","Widowed","54000","none","12","Dietary aide, full time","Democrat","Souls"
"33","vsJDnjLj","Long Term Memory",-0.167349089586192,2.52875126669883,0.187636098947113,"Male","55","White","Less than High School Degree (or equivalent)","Christianity","Christianity","Extremely Religious","Not Spiritual","Once a year or less","More than once a week","Never","Single","12000","none","11","Full time employed Webmaster","Republican","Souls"
"34","w5DG17p0","Attention (Concentration)",-0.00364552664691461,0.0224181416071569,-0.00214400240198632,"Male","28","White","College - Bachelor's Degree","Christianity","Christianity","Somewhat Religious","Somewhat Spiritual","Once a year or less","A few times a month","Never","Single","55000","computer science","16","full time manager","Republican","Souls"
"35","WN0VE4FZ","Self-control",-6.37655070726541,0.64697712109351,3.77028796872209,"Female","39","White","High School/Secondary School Degree (or equivalent)","Other","Buddhism","Very Religious","Extremely Spiritual","A few times a year","More than once a week","More than once a week","Widowed","28000","art","15","hospitality - entertainer","Independent","Computers"
"36","YgSlD5mK","Motor Function",-0.03041079820468,1.00655292335438,0.0786802990945623,"Female","36","White","College - Bachelor's Degree","None","Agnosticism","Not Religious","Somewhat Spiritual","Never","Never","Never","In a Relationship","75000","Japanese and art","16","photographer - manager (entertainment and media)","Democrat","Computers"
"37","ZAtx6CUR","Short Term (Working) Memory",-0.110434424232534,15.7323812417542,0.105796418270439,"Female","43","White","College - Bachelor's Degree","Atheism","Atheism","Not Religious","Not Spiritual","Never","Never","Never","In a Relationship","77000","Healthcare Administration - Business","16","Health Insurance - Manager","Republican","Computers"
"38","zeRcEHIn","Language (spoken)",-0.162151162732339,9.28033096970306,0.111256735198818,"Male","48","Black","College - Bachelor's Degree","Christianity","Christianity","Not Religious","Somewhat Spiritual","Once a year or less","Once a year or less","Once a week","Divorced","62000","English","16","Full time Airline employee Ground Crew","Democrat","Computers"
"39","zrwNx8or","Short Term (Working) Memory",-0.16943311015809,13.7725411977398,0.278952455898393,"Female","62","White","College - Bachelor's Degree","Christianity","Christianity","Extremely Religious","Extremely Spiritual","Once a year or less","More than once a week","Never","Divorced","1999","Business Admiistration","16","Customer Service in banking","Republican","Souls"
